danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
0.601,0.386,0,-11.156,0,0.26,0.717,0.0,0.582,0.77,122.294,2dAOKHKapOngJv8sMI8GGZ,spotify:track:2dAOKHKapOngJv8sMI8GGZ,https://api.spotify.com/v1/tracks/2dAOKHKapOngJv8sMI8GGZ,https://api.spotify.com/v1/audio-analysis/2dAOKHKapOngJv8sMI8GGZ,123000,4
0.68,0.463,5,-15.29,1,0.165,0.718,0.0,0.0985,0.858,99.662,4qqfI5oNO53a6W7nWfutKH,spotify:track:4qqfI5oNO53a6W7nWfutKH,https://api.spotify.com/v1/tracks/4qqfI5oNO53a6W7nWfutKH,https://api.spotify.com/v1/audio-analysis/4qqfI5oNO53a6W7nWfutKH,195147,4
0.671,0.225,0,-16.569,1,0.0493,0.661,0.0,0.102,0.717,134.852,6CDiKAFgbWXlwQTU59GKYT,spotify:track:6CDiKAFgbWXlwQTU59GKYT,https://api.spotify.com/v1/tracks/6CDiKAFgbWXlwQTU59GKYT,https://api.spotify.com/v1/audio-analysis/6CDiKAFgbWXlwQTU59GKYT,163387,4
0.354,0.411,0,-6.018,1,0.0344,0.815,1e-06,0.106,0.43,90.831,70b5Sq3ePOu3Gqg0hjlOtR,spotify:track:70b5Sq3ePOu3Gqg0hjlOtR,https://api.spotify.com/v1/tracks/70b5Sq3ePOu3Gqg0hjlOtR,https://api.spotify.com/v1/audio-analysis/70b5Sq3ePOu3Gqg0hjlOtR,225080,4
0.737,0.637,6,-6.308,0,0.0735,0.262,0.0,0.319,0.537,100.033,3IPnBzGRMg6BfViFxxa0Gq,spotify:track:3IPnBzGRMg6BfViFxxa0Gq,https://api.spotify.com/v1/tracks/3IPnBzGRMg6BfViFxxa0Gq,https://api.spotify.com/v1/audio-analysis/3IPnBzGRMg6BfViFxxa0Gq,124733,4
0.59,0.53,9,-6.123,1,0.127,0.441,0.0,0.0967,0.707,103.042,5covTs92HnHJwAWrXF7l14,spotify:track:5covTs92HnHJwAWrXF7l14,https://api.spotify.com/v1/tracks/5covTs92HnHJwAWrXF7l14,https://api.spotify.com/v1/audio-analysis/5covTs92HnHJwAWrXF7l14,182107,4
0.5,0.342,7,-9.536,1,0.175,0.536,0.0,0.59,0.684,77.124,7bG6SQBGZthPDG5QJL5Gf7,spotify:track:7bG6SQBGZthPDG5QJL5Gf7,https://api.spotify.com/v1/tracks/7bG6SQBGZthPDG5QJL5Gf7,https://api.spotify.com/v1/audio-analysis/7bG6SQBGZthPDG5QJL5Gf7,110987,1
0.321,0.474,5,-9.383,1,0.0348,0.743,0.0,0.204,0.804,121.199,2F4FNcz68howQWD4zaGJSi,spotify:track:2F4FNcz68howQWD4zaGJSi,https://api.spotify.com/v1/tracks/2F4FNcz68howQWD4zaGJSi,https://api.spotify.com/v1/audio-analysis/2F4FNcz68howQWD4zaGJSi,162093,4
0.402,0.391,10,-16.112,1,0.0406,0.0634,0.0,0.296,0.568,83.789,0HU5JnVaKNTWf6GykV9Zn8,spotify:track:0HU5JnVaKNTWf6GykV9Zn8,https://api.spotify.com/v1/tracks/0HU5JnVaKNTWf6GykV9Zn8,https://api.spotify.com/v1/audio-analysis/0HU5JnVaKNTWf6GykV9Zn8,239147,4
0.368,0.35,4,-17.313,1,0.0617,0.564,0.0,0.281,0.849,175.741,3wjgPeXocinhLyPL37p70e,spotify:track:3wjgPeXocinhLyPL37p70e,https://api.spotify.com/v1/tracks/3wjgPeXocinhLyPL37p70e,https://api.spotify.com/v1/audio-analysis/3wjgPeXocinhLyPL37p70e,146053,4
